序号,汉字,频度统计,频度顺序,频率,,
466,充,54812,690,0.0285%,,
447,负,54616,691,0.0284%,,
79,云,54510,692,0.0284%,,
1805,停,54453,693,0.0284%,,
82,木,54433,694,0.0283%,,
2088,游,54262,695,0.0283%,,
202,龙,54169,696,0.0282%,,
1163,树,54037,697,0.0281%,,
2321,疑,53982,698,0.0281%,,
758,层,53705,699,0.0280%,,
710,冷,53460,700,0.0278%,,
1351,洲,53429,701,0.0278%,,
454,冲,53378,702,0.0278%,,
1563,射,53184,703,0.0277%,,
1774,略,53068,704,0.0276%,,
839,范,53033,705,0.0276%,,
1844,竟,53033,706,0.0276%,,
257,句,52891,707,0.0275%,,
1363,室,52846,708,0.0275%,,
502,异,52735,709,0.0275%,,
2451,激,52723,710,0.0275%,,
277,汉,52656,711,0.0274%,,
593,村,52603,712,0.0274%,,
1219,哈,52475,713,0.0273%,,
2033,策,52394,714,0.0273%,,
2342,演,52394,715,0.0273%,,
2211,简,52280,716,0.0272%,,
207,卡,52244,717,0.0272%,,
2196,罪,52068,718,0.0271%,,
720,判,52045,719,0.0271%,,
805,担,51792,720,0.0270%,,
476,州,51533,721,0.0268%,,
2268,静,51401,722,0.0268%,,
1382,退,51272,723,0.0267%,,
1383,既,51208,724,0.0267%,,
463,衣,51134,725,0.0266%,,
1803,您,51094,726,0.0266%,,
1044,宗,50799,727,0.0265%,,
1539,积,50720,728,0.0264%,,
677,余,50601,729,0.0264%,,
2068,痛,50459,730,0.0263%,,
1743,检,50413,731,0.0263%,,
1320,差,50349,732,0.0262%,,
2099,富,50273,733,0.0262%,,
756,灵,50134,734,0.0261%,,
342,协,50123,735,0.0261%,,
692,角,50081,736,0.0261%,,
209,占,49980,737,0.0260%,,
1481,配,49900,738,0.0260%,,
952,征,49855,739,0.0260%,,
1256,修,49829,740,0.0260%,,
300,皮,49803,741,0.0259%,,
1133,挥,49702,742,0.0259%,,
1281,胜,49565,743,0.0258%,,
1080,降,49306,744,0.0257%,,
507,阶,49058,745,0.0255%,,
1047,审,48862,746,0.0254%,,
732,沉,48772,747,0.0254%,,
613,坚,48749,748,0.0254%,,
2071,善,48739,749,0.0254%,,
515,妈,48622,750,0.0253%,,
459,刘,48600,751,0.0253%,,
1667,读,48304,752,0.0252%,,
1517,啊,48244,753,0.0251%,,
1921,超,48218,754,0.0251%,,
689,免,48044,755,0.0250%,,
344,压,48038,756,0.0250%,,
1786,银,47955,757,0.0250%,,
520,买,47788,758,0.0249%,,
1264,皇,47750,759,0.0249%,,
1321,养,47702,760,0.0248%,,
2541,伊,47619,761,0.0248%,,
733,怀,47561,762,0.0248%,,
322,执,47543,763,0.0248%,,
1748,副,47520,764,0.0247%,,
649,乱,47474,765,0.0247%,,
564,抗,47342,766,0.0247%,,
260,犯,47098,767,0.0245%,,
1268,追,47079,768,0.0245%,,
1104,帮,47065,769,0.0245%,,
1362,宣,47041,770,0.0245%,,
672,佛,47038,771,0.0245%,,
389,岁,46835,772,0.0244%,,
1571,航,46789,773,0.0244%,,
411,优,46613,774,0.0243%,,
1041,怪,46600,775,0.0243%,,
1244,香,46525,776,0.0242%,,
1727,著,46239,777,0.0241%,,
223,田,45886,778,0.0239%,,
1527,铁,45798,779,0.0239%,,
1721,控,45664,780,0.0238%,,
2029,税,45615,781,0.0238%,,
197,左,45568,782,0.0237%,,
199,右,45561,783,0.0237%,,
418,份,45408,784,0.0236%,,
1367,穿,45314,785,0.0236%,,
81,艺,45218,786,0.0235%,,
1183,背,45181,787,0.0235%,,
504,阵,44899,788,0.0234%,,
